post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"s1216585c30dfdebfc","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdec66","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdecb5","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfded01","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfded4c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfded97","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdede2","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdee2c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdee77","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdeecd","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdef18","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdef63","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfdefad","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
